,G1000116,M1004271,M0001227,M0000612,S0059843,S0059744,M0000185,M0000271
2005-01-03,,,,,,,,81.36
2005-01-04,,4.8995,,,,3.1095,8.2765,82.57
2005-01-05,,4.8378,,,,2.8868,8.2765,82.54
2005-01-06,,4.699,,,,2.8443,8.2765,83.15
2005-01-07,,4.8431,,,,2.7286,8.2765,83.61
2005-01-10,,4.8932,,,,2.7976,8.2765,83.29
2005-01-11,,4.7878,,,,2.7864,8.2765,83.02
2005-01-12,,4.9626,,,,2.7728,8.2765,82.14
2005-01-13,,4.9242,,,,2.7124,8.2765,82.41
2005-01-14,,4.8877,,,,2.7181,8.2765,83.06
2005-01-17,,4.7796,,,,2.7729,8.2765,83.33
2005-01-18,,4.8523,,,,2.7253,8.2765,83.36
2005-01-19,,5.0139,,,,2.7705,8.2765,83.6
2005-01-20,,4.7736,,,,2.8989,8.2765,83.84
2005-01-21,,4.8205,,,,2.9589,8.2765,83.26
2005-01-24,,4.8219,,,,2.8094,8.2765,83.24
2005-01-25,,4.7913,,,,2.8045,8.2765,83.99
2005-01-26,,4.7315,,,,2.8953,8.2765,83.3
2005-01-27,,4.7287,,,,2.8677,8.2765,83.43
2005-01-28,,4.7421,,,,2.7318,8.2765,83.48
2005-01-31,100.0464,4.7675,5.8,1.9,,2.8151,8.2765,83.6
2005-02-01,100.0464,4.6276,5.8,1.9,,2.8033,8.2765,83.45
2005-02-02,100.0464,4.7243,5.8,1.9,,2.782,8.2765,83.52
2005-02-03,100.0464,4.8004,5.8,1.9,,2.8856,8.2765,83.97
2005-02-04,100.0464,4.4595,5.8,1.9,,2.892,8.2765,84.39
2005-02-05,100.0464,4.7149,5.8,1.9,,2.9913,8.2765,84.39
2005-02-06,100.0464,4.7813,5.8,1.9,,2.8937,8.2765,84.39
2005-02-07,100.0464,4.5439,5.8,1.9,,2.8363,8.2765,85.04
2005-02-08,100.0464,4.6143,5.8,1.9,,2.7922,8.2765,85.1
2005-02-09,100.0464,4.6143,5.8,1.9,,2.7922,8.2765,85.02
2005-02-10,100.0464,4.6143,5.8,1.9,,2.7922,8.2765,84.54
2005-02-11,100.0464,4.6143,5.8,1.9,,2.7922,8.2765,84.57
2005-02-14,100.0464,4.6143,5.8,1.9,,2.7922,8.2765,83.96
2005-02-15,100.0464,4.6143,5.8,1.9,,2.7922,8.2765,83.59
2005-02-16,100.0464,4.5457,5.8,1.9,,2.8912,8.2765,83.67
2005-02-17,100.0464,4.5758,5.8,1.9,,2.8368,8.2765,83.47
2005-02-18,100.0464,4.525,5.8,1.9,,2.8474,8.2765,83.49
2005-02-21,100.0464,4.8529,5.8,1.9,,2.7068,8.2765,83.5
2005-02-22,100.0464,4.5173,5.8,1.9,,2.8355,8.2765,82.41
2005-02-23,100.0464,4.5981,5.8,1.9,,2.9011,8.2765,82.68
2005-02-24,100.0464,4.6065,5.8,1.9,,2.892,8.2765,82.88
2005-02-25,100.0464,4.5386,5.8,1.9,,2.8503,8.2765,82.66
2005-02-28,99.9109,4.4608,5.38,3.9,,2.7235,8.2765,82.51
2005-03-01,99.9109,4.5845,5.38,3.9,,2.6758,8.2765,82.78
2005-03-02,99.9109,4.6234,5.38,3.9,,2.7183,8.2765,83.08
2005-03-03,99.9109,4.5647,5.38,3.9,,2.8036,8.2765,83.28
2005-03-04,99.9109,4.5447,5.38,3.9,,2.7079,8.2765,82.54
2005-03-07,99.9109,4.5433,5.38,3.9,,2.7582,8.2765,82.74
2005-03-08,99.9109,4.4933,5.38,3.9,,2.5261,8.2765,81.98
2005-03-09,99.9109,4.5212,5.38,3.9,,2.5813,8.2765,81.63
2005-03-10,99.9109,4.2696,5.38,3.9,,2.497,8.2765,81.57
2005-03-11,99.9109,4.5108,5.38,3.9,,2.5504,8.2765,81.42
2005-03-14,99.9109,4.5445,5.38,3.9,,2.5116,8.2765,81.97
2005-03-15,99.9109,4.4685,5.38,3.9,,2.9443,8.2765,82.12
2005-03-16,99.9109,4.5062,5.38,3.9,,3.0904,8.2765,81.62
2005-03-17,99.9109,4.6855,5.38,3.9,,2.8447,8.2765,81.84
2005-03-18,99.9109,4.3254,5.38,3.9,,2.7896,8.2765,82.13
2005-03-21,99.9109,4.416,5.38,3.9,,2.7906,8.2765,82.88
2005-03-22,99.9109,4.3164,5.38,3.9,,2.8187,8.2765,83.36
2005-03-23,99.9109,4.3358,5.38,3.9,,2.8823,8.2765,84.0
2005-03-24,99.9109,4.3741,5.38,3.9,,2.9168,8.2765,84.13
2005-03-25,99.9109,4.4016,5.38,3.9,,2.8639,8.2765,84.17
2005-03-28,99.9109,4.3575,5.38,3.9,,2.8419,8.2765,84.62
2005-03-29,99.9109,4.2996,5.38,3.9,,2.7871,8.2765,84.32
2005-03-30,99.9109,3.8904,5.38,3.9,,2.7761,8.2765,84.29
2005-03-31,99.88956,4.3148,5.6,2.7,,2.6001,8.2765,84.06
2005-04-01,99.88956,4.2683,5.6,2.7,,2.7696,8.2765,84.43
2005-04-04,99.88956,4.2749,5.6,2.7,,2.691,8.2765,84.78
2005-04-05,99.88956,4.4273,5.6,2.7,,2.72,8.2765,84.66
2005-04-06,99.88956,4.2577,5.6,2.7,,2.7133,8.2765,84.68
2005-04-07,99.88956,4.3219,5.6,2.7,,2.5386,8.2765,84.87
2005-04-08,99.88956,4.3602,5.6,2.7,,2.6329,8.2765,84.4
2005-04-11,99.88956,4.2578,5.6,2.7,,2.7005,8.2765,84.16
2005-04-12,99.88956,4.1503,5.6,2.7,,2.511,8.2765,84.42
2005-04-13,99.88956,4.3286,5.6,2.7,,2.5263,8.2765,84.42
2005-04-14,99.88956,4.2101,5.6,2.7,,2.4031,8.2765,85.0
2005-04-15,99.88956,4.5002,5.6,2.7,,2.5018,8.2765,84.48
2005-04-18,99.88956,4.0546,5.6,2.7,,2.5733,8.2765,84.0
2005-04-19,99.88956,3.9905,5.6,2.7,,2.7378,8.2765,83.76
2005-04-20,99.88956,5.1141,5.6,2.7,,2.5849,8.2765,83.52
2005-04-21,99.88956,4.182,5.6,2.7,,2.4758,8.2765,83.7
2005-04-22,99.88956,4.0014,5.6,2.7,,2.4236,8.2765,83.5
2005-04-25,99.88956,4.114,5.6,2.7,,2.4109,8.2765,83.75
2005-04-26,99.88956,3.9062,5.6,2.7,,2.7392,8.2765,83.96
